,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,0.0,1.0,0.29,0.42536290755960365,0.0,6.0,0.0
1,100002.0,0.0,1.0,0.0,0.16,0.1776948798660084,0.0,6.0,0.0
2,100003.0,0.0,0.0,0.0,0.78,0.38446654139973474,0.0,6.0,0.0
3,100004.0,0.0,0.0,1.0,0.99,0.49496049702922346,0.0,6.0,0.0
4,100005.0,0.0,0.0,0.0,0.16,0.059727157978696446,0.0,6.0,0.0
5,100006.0,0.0,0.0,0.0,0.05,0.3785479673609754,0.0,6.0,0.0
6,100007.0,1.0,1.0,1.0,0.1,0.022258239943517038,0.0,6.0,0.0
7,100008.0,1.0,0.0,1.0,0.13,0.29293414474032303,0.0,6.0,0.0
8,100009.0,0.0,0.0,1.0,0.07,0.3042849390392009,0.0,6.0,0.0
9,100010.0,0.0,1.0,0.0,0.93,0.156070002095449,0.0,6.0,0.0
10,100011.0,0.0,1.0,1.0,0.39,0.3960848794302435,0.0,6.0,0.0
11,100012.0,0.0,0.0,1.0,0.79,0.43622224768616863,0.0,6.0,0.0
12,100013.0,1.0,1.0,0.0,0.82,0.1177982004278042,0.0,6.0,0.0
13,100014.0,1.0,0.0,1.0,0.46,0.16735319680592453,0.0,6.0,0.0
14,100015.0,0.0,0.0,1.0,0.69,0.4412928476321194,0.0,6.0,0.0
15,100016.0,0.0,1.0,0.0,0.37,0.1661609471755511,0.0,6.0,0.0
16,100017.0,1.0,0.0,1.0,0.57,0.021993008565987758,0.0,6.0,0.0
17,100018.0,0.0,1.0,1.0,0.32,0.19265204753050522,0.0,6.0,0.0
18,100019.0,1.0,0.0,0.0,0.21,0.1255424547664122,0.0,6.0,0.0
19,100020.0,0.0,1.0,0.0,0.58,0.4928545875579639,0.0,6.0,0.0
20,100021.0,1.0,0.0,0.0,0.2,0.31053051345587857,0.0,6.0,0.0
21,100022.0,1.0,1.0,0.0,0.63,0.5070031762274207,0.0,6.0,1.0
22,100023.0,1.0,1.0,0.0,0.27,0.199033942012782,0.0,6.0,0.0
23,100024.0,1.0,1.0,0.0,0.93,0.2679524551567708,0.0,6.0,0.0
24,100025.0,0.0,1.0,1.0,0.21,0.0842589740429542,0.0,6.0,0.0
