,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,0.0,0.0,0.88,0.2829337618271589,1.0,3.0,0.0
1,100002.0,1.0,1.0,0.0,0.08,0.44074578470916387,1.0,3.0,0.0
2,100003.0,0.0,0.0,1.0,0.86,0.18966369014508325,1.0,3.0,0.0
3,100004.0,0.0,1.0,1.0,1.0,0.3779015633077276,1.0,3.0,0.0
4,100005.0,0.0,1.0,0.0,0.4,0.5822020263770056,1.0,3.0,0.0
5,100006.0,0.0,1.0,1.0,0.08,0.19908077821821604,1.0,3.0,0.0
6,100007.0,1.0,1.0,1.0,0.46,0.29763704480352043,1.0,3.0,0.0
7,100008.0,0.0,0.0,1.0,0.55,0.33821300848706837,1.0,3.0,0.0
8,100009.0,1.0,1.0,1.0,0.39,0.07376287076223031,1.0,3.0,0.0
9,100010.0,1.0,1.0,1.0,0.01,0.25207071761962285,1.0,3.0,0.0
10,100011.0,0.0,0.0,1.0,0.76,0.26320114294772534,1.0,3.0,0.0
11,100012.0,0.0,1.0,1.0,0.81,0.28674665729488,1.0,3.0,0.0
12,100013.0,0.0,0.0,1.0,0.16,0.35701945711463656,1.0,3.0,0.0
13,100014.0,0.0,1.0,1.0,0.88,0.0539999900065548,1.0,3.0,0.0
14,100015.0,1.0,1.0,1.0,0.6,0.3004658370432613,1.0,3.0,0.0
15,100016.0,1.0,0.0,1.0,0.18,0.5138908756986387,1.0,3.0,0.0
16,100017.0,1.0,0.0,1.0,0.44,0.13957278409718796,1.0,3.0,0.0
17,100018.0,1.0,0.0,0.0,0.15,0.46860169423309567,1.0,3.0,0.0
18,100019.0,1.0,1.0,0.0,0.33,0.11781049445212398,1.0,3.0,0.0
19,100020.0,1.0,0.0,0.0,0.33,0.5956899039829896,1.0,3.0,0.0
20,100021.0,0.0,0.0,0.0,0.17,0.675993973991908,1.0,3.0,0.0
21,100022.0,1.0,1.0,1.0,0.98,0.4950758746544075,1.0,3.0,0.0
22,100023.0,0.0,0.0,0.0,0.25,0.37858229588872777,1.0,3.0,0.0
23,100024.0,0.0,0.0,0.0,1.0,0.4051261222864439,1.0,3.0,0.0
24,100025.0,0.0,0.0,1.0,0.85,0.4557062185737773,1.0,3.0,0.0
25,100026.0,1.0,1.0,1.0,0.03,0.45060171441171315,1.0,3.0,0.0
26,100027.0,1.0,1.0,0.0,0.34,0.23106390270618354,1.0,3.0,0.0
27,100028.0,0.0,0.0,1.0,0.65,0.37329856747730256,1.0,3.0,0.0
28,100029.0,0.0,0.0,0.0,0.31,0.45711635112813814,1.0,3.0,0.0
29,100030.0,0.0,1.0,1.0,0.19,0.44953187633535563,1.0,3.0,0.0
30,100031.0,1.0,1.0,1.0,0.81,0.15324421626097431,1.0,3.0,0.0
31,100032.0,1.0,1.0,0.0,0.53,0.28386967736731644,1.0,3.0,0.0
32,100033.0,1.0,1.0,1.0,0.12,0.3971109330484191,1.0,3.0,0.0
33,100034.0,1.0,1.0,1.0,0.35,0.23354917661427027,1.0,3.0,0.0
34,100035.0,1.0,1.0,0.0,0.24,0.2682801087843406,1.0,3.0,0.0
35,100036.0,0.0,1.0,0.0,0.83,0.28325151010539346,1.0,3.0,0.0
36,100037.0,0.0,1.0,1.0,0.9,0.6661309721663262,1.0,3.0,0.0
37,100038.0,1.0,0.0,0.0,0.07,0.8413443331670476,1.0,3.0,0.0
38,100039.0,1.0,0.0,1.0,0.19,0.04264725617384325,1.0,3.0,0.0
39,100040.0,0.0,1.0,1.0,0.91,0.18320402595302493,1.0,3.0,0.0
40,100041.0,0.0,1.0,1.0,0.23,0.11696439989419259,1.0,3.0,0.0
41,100042.0,1.0,0.0,1.0,0.11,0.4506468838916645,1.0,3.0,0.0
42,100043.0,1.0,0.0,0.0,0.09,0.006428570978041029,1.0,3.0,0.0
43,100044.0,1.0,1.0,1.0,0.5,0.42747233186584205,1.0,3.0,0.0
44,100045.0,0.0,1.0,0.0,0.73,0.31295259496506506,1.0,3.0,0.0
